podcast_id,programmatic_consistency_passed,programmatic_consistency_reason,last_episode_date,days_since_last_episode,average_frequency_days,llm_match_score,llm_match_explanation,composite_score,quality_tier,final_explanation,metric_scores,error
948da7ba8a3b49cd99eee7c47d192319,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile 948da7ba8a3b49cd99eee7c47d192319: unsupported format string passed to NoneType.__format__,{},Failed to vet profile 948da7ba8a3b49cd99eee7c47d192319: unsupported format string passed to NoneType.__format__
ad8fe5a7aab14dd5acbde406f11772ba,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile ad8fe5a7aab14dd5acbde406f11772ba: unsupported format string passed to NoneType.__format__,{},Failed to vet profile ad8fe5a7aab14dd5acbde406f11772ba: unsupported format string passed to NoneType.__format__
fcaa3aec311546a4b09dfb8ce1fb8c91,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile fcaa3aec311546a4b09dfb8ce1fb8c91: unsupported format string passed to NoneType.__format__,{},Failed to vet profile fcaa3aec311546a4b09dfb8ce1fb8c91: unsupported format string passed to NoneType.__format__
27a163c3bbe64ff89036c1a328fc5c7e,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile 27a163c3bbe64ff89036c1a328fc5c7e: unsupported format string passed to NoneType.__format__,{},Failed to vet profile 27a163c3bbe64ff89036c1a328fc5c7e: unsupported format string passed to NoneType.__format__
8eef79df87664e7796c7bbcd9c954858,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile 8eef79df87664e7796c7bbcd9c954858: unsupported format string passed to NoneType.__format__,{},Failed to vet profile 8eef79df87664e7796c7bbcd9c954858: unsupported format string passed to NoneType.__format__
d8de1801519e4f7bb260a9e4b71c0807,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile d8de1801519e4f7bb260a9e4b71c0807: unsupported format string passed to NoneType.__format__,{},Failed to vet profile d8de1801519e4f7bb260a9e4b71c0807: unsupported format string passed to NoneType.__format__
73625f024de447caa1897d4344e3d807,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile 73625f024de447caa1897d4344e3d807: unsupported format string passed to NoneType.__format__,{},Failed to vet profile 73625f024de447caa1897d4344e3d807: unsupported format string passed to NoneType.__format__
147dc693635f41a38fbed9e582b83ee5,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile 147dc693635f41a38fbed9e582b83ee5: unsupported format string passed to NoneType.__format__,{},Failed to vet profile 147dc693635f41a38fbed9e582b83ee5: unsupported format string passed to NoneType.__format__
pd_lz3od9wy8br5vxa8,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_lz3od9wy8br5vxa8: can't subtract offset-naive and offset-aware datetimes,{},Failed to vet profile pd_lz3od9wy8br5vxa8: can't subtract offset-naive and offset-aware datetimes
pd_k42yajryg3n5p8ow,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_k42yajryg3n5p8ow: can't subtract offset-naive and offset-aware datetimes,{},Failed to vet profile pd_k42yajryg3n5p8ow: can't subtract offset-naive and offset-aware datetimes
pd_dpmk29nqnr9ev8nz,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_dpmk29nqnr9ev8nz: can't subtract offset-naive and offset-aware datetimes,{},Failed to vet profile pd_dpmk29nqnr9ev8nz: can't subtract offset-naive and offset-aware datetimes
pd_7a3do5byv2ljkxyr,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_7a3do5byv2ljkxyr: can't subtract offset-naive and offset-aware datetimes,{},Failed to vet profile pd_7a3do5byv2ljkxyr: can't subtract offset-naive and offset-aware datetimes
pd_dpmk29need9ev8nz,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_dpmk29need9ev8nz: can't subtract offset-naive and offset-aware datetimes,{},Failed to vet profile pd_dpmk29need9ev8nz: can't subtract offset-naive and offset-aware datetimes
pd_rnkbp9o2qgg572wa,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_rnkbp9o2qgg572wa: can't subtract offset-naive and offset-aware datetimes,{},Failed to vet profile pd_rnkbp9o2qgg572wa: can't subtract offset-naive and offset-aware datetimes
pd_vp6km5arreyj4lae,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_vp6km5arreyj4lae: can't subtract offset-naive and offset-aware datetimes,{},Failed to vet profile pd_vp6km5arreyj4lae: can't subtract offset-naive and offset-aware datetimes
pd_w6go3jmn26852la7,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_w6go3jmn26852la7: can't subtract offset-naive and offset-aware datetimes,{},Failed to vet profile pd_w6go3jmn26852la7: can't subtract offset-naive and offset-aware datetimes
pd_k2a645pbmxl9qpln,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_k2a645pbmxl9qpln: can't subtract offset-naive and offset-aware datetimes,{},Failed to vet profile pd_k2a645pbmxl9qpln: can't subtract offset-naive and offset-aware datetimes
pd_w6go3jmm2lj2la7b,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_w6go3jmm2lj2la7b: can't subtract offset-naive and offset-aware datetimes,{},Failed to vet profile pd_w6go3jmm2lj2la7b: can't subtract offset-naive and offset-aware datetimes
pd_eym7vj4v7gyj43wp,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_eym7vj4v7gyj43wp: can't subtract offset-naive and offset-aware datetimes,{},Failed to vet profile pd_eym7vj4v7gyj43wp: can't subtract offset-naive and offset-aware datetimes
pd_dpmk29nnx8a9ev8n,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_dpmk29nnx8a9ev8n: can't subtract offset-naive and offset-aware datetimes,{},Failed to vet profile pd_dpmk29nnx8a9ev8n: can't subtract offset-naive and offset-aware datetimes
pd_7a3do5b8vek5kxyr,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_7a3do5b8vek5kxyr: can't subtract offset-naive and offset-aware datetimes,{},Failed to vet profile pd_7a3do5b8vek5kxyr: can't subtract offset-naive and offset-aware datetimes
pd_ndbka52pwvyj2gez,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_ndbka52pwvyj2gez: can't subtract offset-naive and offset-aware datetimes,{},Failed to vet profile pd_ndbka52pwvyj2gez: can't subtract offset-naive and offset-aware datetimes
pd_ka86x53v26n9wgdv,False,Vetting process failed.,,,,,Vetting process failed.,0.0,D,Failed to vet profile pd_ka86x53v26n9wgdv: can't subtract offset-naive and offset-aware datetimes,{},Failed to vet profile pd_ka86x53v26n9wgdv: can't subtract offset-naive and offset-aware datetimes
